filename,variation_name,modification_type,modification_count,success,error_message
note2.txt,AI_omit_r1,omit_r,1,True,
note2.txt,AI_omit_ir1,omit_ir,1,True,
note2.txt,AI_inj_r1,inj_r,1,True,
note2.txt,AI_inj_ir1,inj_ir,1,True,
note2.txt,AI_omit_r2,omit_r,2,True,
note2.txt,AI_omit_ir2,omit_ir,2,True,
note2.txt,AI_inj_r2,inj_r,2,True,
note2.txt,AI_inj_ir2,inj_ir,2,True,
note2.txt,AI_omit_r3,omit_r,3,True,
note2.txt,AI_omit_ir3,omit_ir,3,True,
note2.txt,AI_inj_r3,inj_r,3,True,
note2.txt,AI_inj_ir3,inj_ir,3,True,
note2.txt,AI_omit_r4,omit_r,4,True,
note2.txt,AI_omit_ir4,omit_ir,4,True,
note2.txt,AI_inj_r4,inj_r,4,True,
note2.txt,AI_inj_ir4,inj_ir,4,True,
note2.txt,AI_omit_r5,omit_r,5,True,
note2.txt,AI_omit_ir5,omit_ir,5,True,
note2.txt,AI_inj_r5,inj_r,5,True,
note2.txt,AI_inj_ir5,inj_ir,5,True,
